tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	62000008397049	16	9024	9024	7282	2301	4980	f917d1bd910ad2e4877750d99bf96ddc
i259s0	62000008397050	18	9024	9024	4093	1398	2694	7bc39d4cafdd9bfc179880ac04037b05
i259s0	62000008397051	21	9024	9024	4054	1424	2630	d1e33397b9e66b29b2ed2e2ce9e4421d
i259s0	62000008397052	14	9024	9024	7476	2325	5150	e4a198b77055e33227895ea005ee7e58
i259s0	62000008397053	20	9024	9024	7346	2342	5004	7e918fb3646e69bab41fb81a1373ba71
i259s0	62000008397054	11	9024	9024	7475	2365	5110	0726cab0cc85a585ec824e0bbc389388
i259s0	62000008397055	15	9024	9024	7904	2500	5403	9343192a58ee7cafc018c330e5a8291e
i259s0	62000008397056	22	9024	9024	7299	2299	4999	c39d3c033b3da984325813fc5dc6b968
i259s0	62000008397057	12	9024	9024	7308	2309	4998	77669360f7f4675323896689f25780d5
i259s0	62000008397058	15	9024	9024	4452	1424	3028	16f0b2a4296c5f0634317cc3cfb414f1
i259s0	62000008397059	17	9024	9024	7426	2518	4908	5f3ae01a0d7772a438afc36e4705b2b5
i259s0	62000008397060	14	9024	9024	5477	1455	4021	56fce57ad094c0c15a6e0d63153dad64
i259s0	62000008397061	20	9024	9024	5698	2315	3382	f334f47a7680e833807b701e224140b2
